Subject,ExamType,MaximumScore,ExamDate,Neptun,Score
Problémamegoldás programozással,első,20,2024.10.17,LJSBLZ,0
Problémamegoldás programozással,első,20,2024.10.17,SMEGUY,10
Problémamegoldás programozással,első,20,2024.10.17,JML37D,20
Problémamegoldás programozással,második,80,2024.12.05,LJSBLZ,30
Problémamegoldás programozással,második,80,2024.12.05,SMEGUY,50
Problémamegoldás programozással,második,80,2024.12.05,JML37D,80
Problémamegoldás programozással,javító,80,2024.12.12,LJSBLZ,52
Problémamegoldás programozással,javító,20,2024.12.12,SMEGUY,11
Szoftvertervezés és fejlesztés I,első,40,2023.10.17,HLYSGG,0
Szoftvertervezés és fejlesztés I,első,40,2023.10.17,RBNVKT,0
Szoftvertervezés és fejlesztés I,első,40,2023.10.17,MEH8OE,40
Szoftvertervezés és fejlesztés I,második,40,2023.12.05,HLYSGG,0
Szoftvertervezés és fejlesztés I,második,40,2023.12.05,RBNVKT,0
Szoftvertervezés és fejlesztés I,második,40,2023.12.05,MEH8OE,40
Szoftvertervezés és fejlesztés I,javító,40,2023.12.12,HLYSGG,0
Szoftvertervezés és fejlesztés I,javító,40,2023.12.12,RBNVKT,40
